LV,Common_Expressions-Phrases
B2,set out
B2,short of
B2,so as to do
B2,something like
B2,sort out
B2,stick to
B2,subject to
B2,take advantage of
B2,take into account
B2,take over
B2,that is
B2,the vast majority of
B2,turn into
B2,when it comes to
B2,when it comes to doing
B2,whether or not
B2,would rather
C1,above all
C1,all but
C1,all the more
C1,as far as
C1,as of
C1,as opposed to
C1,as such
C1,as to
C1,as to how
C1,as to whether
C1,at the expense of
C1,at the hands of
C1,back and forth
C1,bear in mind
C1,be attributed to
C1,be entitled to
C1,be found to do
C1,be meant to do
C1,be reported to be
C1,be said to be
C1,bring about
C1,by means of
C1,by no means
C1,call on
C1,consistent with
C1,dedicated to
C1,dispose of
C1,follow up
C1,for that matter
C1,for the benefit of
C1,for the sake of
C1,get away with
C1,given that
C1,have in mind
C1,have in mind for
C1,have nothing to do with
C1,in accordance with
C1,in any case
C1,in a position to do
C1,in conjunction with
C1,in connection with
C1,in effect
C1,in full
C1,in line with
C1,in practice
C1,in respect of
C1,in such a way (that)
C1,in the absence of
C1,in the course of
C1,in the event of
C1,in the face of
C1,in the hands of
C1,in the light of
C1,in light of
C1,in the meantime
C1,in the midst of
C1,in the presence of
C1,in the wake of
C1,involvement in
C1,let alone
C1,little more than
C1,live on
C1,may well
C1,nothing like
C1,not to mention
C1,on behalf of
C1,on the part of
C1,over the course of
C1,put it
C1,seek to do
C1,set to do
C1,the extent to which
C1,to date
C1,work to date
C1,up against
C1,with regard to
C1,with respect to
C1,with the exception of
